abbreviation,name,capital,latitude,longitude
AL,Alabama,Montgomery,32.361538,-86.279118
AK,Alaska,Juneau,58.301935,-134.419740
AZ,Arizona,Phoenix,33.448457,-112.073844
AR,Arkansas,Little Rock,34.736009,-92.331122
CA,California,Sacramento,38.555605,-121.468926
CO,Colorado,Denver,39.739167,-104.984167
CT,Connecticut,Hartford,41.767000,-72.677000
DE,Delaware,Dover,39.161921,-75.526755
FL,Florida,Tallahassee,30.451800,-84.272770
GA,Georgia,Atlanta,33.760000,-84.390000
HI,Hawaii,Honolulu,21.308950,-157.826182
ID,Idaho,Boise,43.613739,-116.237651
IL,Illinois,Springfield,39.783250,-89.650373
IN,Indiana,Indianapolis,39.790942,-86.147685
IA,Iowa,Des Moines,41.590939,-93.620866
KS,Kansas,Topeka,39.040000,-95.690000
KY,Kentucky,Frankfort,38.197274,-84.863110
LA,Louisiana,Baton Rouge,30.458090,-91.140229
ME,Maine,Augusta,44.323535,-69.765261
MD,Maryland,Annapolis,38.972945,-76.501157
MA,Massachusetts,Boston,42.235200,-71.027500
MI,Michigan,Lansing,42.733500,-84.546700
MN,Minnesota,Saint Paul,44.950000,-93.094000
MS,Mississippi,Jackson,32.320000,-90.207000
MO,Missouri,Jefferson City,38.572954,-92.189283
MT,Montana,Helana,46.595805,-112.027031
NE,Nebraska,Lincoln,40.809868,-96.675345
NV,Nevada,Carson City,39.160949,-119.753877
NH,New Hampshire,Concord,43.220093,-71.549127
NJ,New Jersey,Trenton,40.221741,-74.756138
NM,New Mexico,Santa Fe,35.667231,-105.964575
NY,New York,Albany,42.659829,-73.781339
NC,North Carolina,Raleigh,35.771000,-78.638000
ND,North Dakota,Bismarck,46.813343,-100.779004
OH,Ohio,Columbus,39.962245,-83.000647
OK,Oklahoma,Oklahoma City,35.482309,-97.534994
OR,Oregon,Salem,44.931109,-123.029159
PA,Pennsylvania,Harrisburg,40.269789,-76.875613
RI,Rhode Island,Providence,41.823550,-71.422132
SC,South Carolina,Columbia,34.000000,-81.035000
SD,South Dakota,Pierre,44.367966,-100.336378
TN,Tennessee,Nashville,36.165000,-86.784000
TX,Texas,Austin,30.266667,-97.750000
UT,Utah,Salt Lake City,40.754700,-111.892622
VT,Vermont,Montpelier,44.266390,-72.571940
VA,Virginia,Richmond,37.540000,-77.460000
WA,Washington,Olympia,47.042418,-122.893077
WV,West Virginia,Charleston,38.349497,-81.633294
WI,Wisconsin,Madison,43.074722,-89.384444
WY,Wyoming,Cheyenne,41.145548,-104.802042